# %ECSV 0.9
# ---
# delimiter: ","
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: Phot, datatype: float64}
# - {name: Spec, datatype: float64}
Wavelength, Phot, Spec
1.132,0.55,0.7
1.14,0.55,0.7
1.149,0.55,0.7
1.158,0.55,0.7
1.166,0.55,0.7
1.175,0.55,0.7
1.183,0.55,0.7
1.192,0.55,0.7
1.201,0.55,0.7
1.209,0.55,0.7
1.218,0.55,0.7
1.226,0.55,0.7
1.235,0.55,0.7
1.244,0.55,0.7
1.252,0.55,0.7
1.261,0.55,0.7
1.269,0.55,0.7
1.278,0.55,0.7
1.287,0.55,0.7
1.295,0.55,0.7
1.304,0.55,0.7
1.313,0.55,0.7
1.321,0.55,0.7
1.33,0.55,0.7
1.338,0.55,0.7
1.347,0.55,0.7
1.356,0.55,0.7
1.364,0.55,0.7
1.373,0.55,0.7
1.381,0.55,0.7
1.39,0.55,0.7
1.399,0.55,0.7
1.407,0.55,0.7
1.416,0.55,0.7
1.424,0.55,0.7
1.433,0.55,0.7
1.442,0.55,0.7
1.45,0.55,0.7
1.459,0.55,0.7
1.467,0.55,0.7
1.476,0.55,0.7
1.485,0.55,0.7
1.493,0.55,0.7
1.502,0.55,0.7
1.511,0.55,0.7
1.519,0.55,0.7
1.528,0.55,0.7
1.536,0.55,0.7
1.545,0.55,0.7
1.554,0.55,0.7
1.562,0.55,0.7
1.571,0.55,0.7
1.579,0.55,0.7
1.588,0.55,0.7
1.597,0.55,0.7
1.605,0.55,0.7
1.614,0.55,0.7
1.622,0.55,0.7
1.631,0.55,0.7
1.64,0.55,0.7
1.648,0.55,0.7
1.657,0.55,0.7
1.665,0.55,0.7
1.674,0.55,0.7
1.683,0.55,0.7
1.691,0.55,0.7
1.7,0.55,0.7
1.709,0.55,0.7
1.717,0.55,0.7
1.726,0.55,0.7
1.734,0.55,0.7
1.743,0.55,0.7
1.752,0.55,0.7
1.76,0.55,0.7
1.769,0.55,0.7
1.777,0.55,0.7
1.786,0.55,0.7
1.795,0.55,0.7
1.803,0.55,0.7
1.812,0.55,0.7
1.82,0.55,0.7
1.829,0.55,0.7
1.838,0.55,0.7
1.846,0.55,0.7
1.855,0.55,0.7
1.863,0.55,0.7
1.872,0.55,0.7
1.881,0.55,0.7
1.889,0.55,0.7
1.898,0.55,0.7
1.907,0.55,0.7
1.915,0.55,0.7
1.924,0.55,0.7
1.932,0.55,0.7
1.941,0.55,0.7
1.95,0.55,0.7
1.958,0.55,0.7
1.967,0.55,0.7
1.975,0.55,0.7
1.984,0.55,0.7
1.993,0.55,0.7
2.001,0.55,0.7
2.01,0.55,0.7
2.018,0.55,0.7
2.027,0.55,0.7
2.036,0.55,0.7
2.044,0.55,0.7
2.053,0.55,0.7
2.061,0.55,0.7
2.07,0.55,0.7
2.079,0.55,0.7
2.087,0.55,0.7
2.096,0.55,0.7
2.105,0.55,0.7
2.113,0.55,0.7
2.122,0.55,0.7
2.13,0.55,0.7
2.139,0.55,0.7
2.148,0.55,0.7
2.156,0.55,0.7
2.165,0.55,0.69
2.173,0.54,0.69
2.182,0.54,0.69
2.191,0.54,0.69
2.199,0.54,0.68
2.208,0.53,0.68
2.216,0.52,0.67
2.225,0.52,0.66
2.234,0.51,0.65
2.242,0.49,0.63
2.251,0.48,0.61
2.259,0.46,0.58
2.268,0.43,0.55
2.277,0.41,0.52
2.285,0.37,0.48
2.294,0.34,0.43
2.303,0.3,0.38
2.311,0.26,0.33
2.32,0.22,0.28
2.328,0.19,0.24
2.337,0.15,0.2
2.346,0.12,0.16
2.354,0.1,0.13
2.363,0.08,0.1
2.371,0.06,0.08
2.38,0.05,0.06
2.389,0.04,0.05
2.397,0.03,0.04
2.406,0.02,0.03
2.414,0.02,0.02
2.423,0.01,0.02
2.432,0.01,0.01
2.44,0.01,0.01
2.449,0.01,0.01
2.457,0,0.01
